契約,ch,種別,CIRCUITNUMBER,EXTRANUMBER,Product,ch,消費,tenant,,請求確認企業,必要対応,,"回線数
0ABJ:¥500 FC:¥2,000","ch
¥1,500
ユニットchの対応が必要かどうか",IP回線基本料,担当,
"【再販03番号契約１】03番号（E-circuit05 ①）
d309447913
4ch
本契約コードの次回申請は4/25以降の申請が可能",4,基本番号,0344138121,,,,,No matching records found,,,,,,,,,
,,追加番号,0344138122,,Lead,4ch,4ch,wellspartners01,,株式会社Wells Partners,,IP回線基本料ー確認必要,◯,◯,"あり（3,009）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3ABMd1hoEIhD-KYSMyWdaC6Q
,,追加番号,0344138123,,Lead,4ch,,wellspartners01,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約２】03番号（E-circuit05 ②）
d440752171
19ch
本契約コードの次回申請は5/25以降の申請が可能",19,基本番号,0344138124,,,,,No matching records found,,,,,,,,,
,,追加番号,0344138125,08003006790,Lead,14ch,14ch,if-partner01,,株式会社IFパートナー,請求修正ー確認必要,IP回線基本料ー確認必要,【不足】番号利用料フリーダイヤル：2,"◯
【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②14chを5回線で分け合うか
③14*5で70chいただくか","あり（3,015）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AePcfaT-9yW0OTUS51UhtXw
,,追加番号,0344138126,08007009515,Lead,14ch,,if-partner01,,,,,,,,,
,,追加番号,0344138127,08000807479,Lead,14ch,,if-partner01,,,,,,,,,
,,追加番号,0344138136,08001236915,Lead,14ch,,if-partner01,,,,,,,,,
,,追加番号,0363658529,08000807587,Lead,14ch,,if-partner01,,,,,,,,,
,,追加番号,0342538929,08005008405,Lead,5ch,5ch,libunite,,libUnite株式会社,対応不要,,◯,◯,なし,ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AuvtlSjEkWZR2P93TqAO0Jw
,,,,,,,,,,,,,,,,,
"【再販03番号契約３】03番号（E-circuit05 ③）
d791994124
50ch
本契約コードの次回申請は8/2以降の申請が可能",50,基本番号,0344138129,,,,,No matching records found,,,,,,,,,
,,追加番号,0344138034,,Lead,50ch,50ch,agent-network,,株式会社エージェント,,IP回線基本料ー確認必要,◯,"◯
【ユニットch対応】50ch以上なので、専用契約箱とする","あり（4,500）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AjaNZHTPDDWaJ4TWwaBV29w
,,追加番号,0363658527,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0363658528,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342418923,0120983542,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342418924,0120905860,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342418951,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342418794,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343166136,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343166162,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343166163,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0359316790,0120988470,Lead,50ch,,agent-001,,,,,,,,,
,,追加番号,0359316791,,Lead,50ch,,agent-001,,,,,,,,,
,,追加番号,0359316792,,Lead,50ch,,agent-001,,,,,,,,,
,,追加番号,0359316793,,Lead,50ch,,agent-001,,,,,,,,,
,,追加番号,0343060121,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343060108,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343060117,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343060150,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343060175,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0343060176,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342844725,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342844726,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0342844749,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0363280467,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0363280468,,Lead,50ch,,agent-network,,,,,,,,,
,,追加番号,0363280477,,Lead,50ch,,agent-network,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約４】03番号（F-circuit05 ①）
d486708383
60ch
本契約コードの次回申請は4/26以降の申請が可能",60,基本番号,0363658523,,,,,No matching records found,,,,,,,,,
,,追加番号,0363658524,0120224909,Lead,60ch,60ch,aml,,株式会社青山メインランド,,IP回線基本料ー確認必要,◯,"◯
【ユニットch対応】50ch以上なので、専用契約箱とする","あり（4,500）",atsuki,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3A_8rKmejp-BIySQBv77ly6A
,,追加番号,0363658525,0120861033,Lead,60ch,,aml,,,,,,,,,
,,追加番号,0342418976,,Lead,60ch,,aml,,,,,,,,,
,,追加番号,0342418977,,Lead,60ch,,aml,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約５】03番号（F-circuit05 ②）
d651055021
34ch
本契約コードの次回申請は5/18以降の申請が可能",34,基本番号,0342125907,,Lead,,,No matching records found,,,,,,,,,
,,追加番号,0342125908,,Lead,34ch,34ch,road01,,株式会社Road,請求修正ー確認必要,IP回線基本料ー確認必要,【不足】番号利用料0ABJ：2,"◯
【ユニットch対応】以下3パターン
①手数料をいただいてグループ化を実施（＋SA~SC回線へ同番移行）
②34chを10回線で分け合うか
③34*10で340chいただくか","あり（4,500）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AJFNiBZDopcJxp9nv55nA2Q
,,追加番号,0342125909,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342125910,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342125911,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342125912,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342418972,0120426676,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342418918,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342418919,,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342418920,0120959285,Lead,34ch,,road01,,,,,,,,,
,,追加番号,0342125945,0120426959,Lead,34ch,,road01,,,,,,,,,
,,,,,,,,,,,,,,,,,
"【再販03番号契約７】03番号（E-circuit05 ④） 
d567899945 
30ch 
本契約コードの次回申請は7/1以降の申請が可能",23,基本番号,0344138035,,,,,No matching records found,,,,,,,,,
,,追加番号,0344138039,,Lead,1ch,1ch,p-g,,株式会社プレジデント・ギア,対応不要,,◯,◯,なし,-,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AoWdTBrFK8P9jEbaFojQMmQ
,,追加番号,0342125953,,Lead,3ch,3ch,port,,ポート株式会社,,IP回線基本料ー確認必要,◯,◯,"あり（4,500）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AUpBGSTdBf72JbaE-pn1XnQ
,,追加番号,0342125954,,Lead,1ch,1ch,port,,,,,,,,,
,,追加番号,0344138202,,Lead,3ch,3ch,port,,,,,,,,,
,,追加番号,0342125933,,Lead,2ch,2ch,arinos,,株式会社Arinos,請求修正ー確認必要,IP回線基本料ー確認必要,◯,【過剰】チャネル利用料：単価が480円高い,"あり（4,500）",ayui,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AYUSuWozD2JcABsDcPR6Yzw
,,追加番号,0342418949,,Lead,13ch,13ch,reviance01,,株式会社リバァイアンス,請求修正ー確認必要,,◯,【過剰】チャネル利用料：請求が24、提供が13,"あり（4,500）",ota,https://invoice.moneyforward.com/billings?view_mode=preview&range_key=created_at&from=2016-12-01&to=2023-10-31&document_number=&document_keywords=partner_id%3AS6D7nxx9HgZBTs1VU3a0kg
,,,,,,,,,,,,,,,,,
"【再販03番号契約８】03番号（F-circuit05 ④）
d110061112
41ch
本契約コードの次回申請は8/22以降の申請が可能",2,基本番号,0342418978,,,,,No matching records found,,,,,,,,,
